qa,context
"what is the scope of the atomic energy act, 1962?","G.S.R. 125. — In exercise of the powers conferred by sub-section (1) read with clause (i) of sub-section (2) of Section 30 and clause (b) of sub-section (1) of Section 17 of the Atomic EnergyAct, 1962 (33 of 1962) and all other powers enabling it in this behalf, the Central Governmenthereby makes the following rules, namely —"
"what is the purpose of the atomic energy act, 1962?","G.S.R. 125. — In exercise of the powers conferred by sub-section (1) read with clause (i) of sub-section (2) of Section 30 and clause (b) of sub-section (1) of Section 17 of the Atomic EnergyAct, 1962 (33 of 1962) and all other powers enabling it in this behalf, the Central Governmenthereby makes the following rules, namely —"
what are the rules for the safe disposal of radioactive wastes?,"(1) These rules may be called the Atomic Energy (Safe Disposal of Radioactive Wastes)Rules, 1987."
when do new laws come into effect?,(2)They shall come into force on the date of their publication in the Official Gazette.
"what are the consequences of an ""accident condition"" not functioning as intended?","— In these rules, unless the context otherwise requires :-(i) “accident condition” means a substantial deviation from normal operating conditions whichcould lead to release of unacceptable quantities of radioactive materials if the relevantengineered safety features did not function as per design intent;"
"what could cause an ""accident condition"" to occur?","— In these rules, unless the context otherwise requires :-(i) “accident condition” means a substantial deviation from normal operating conditions whichcould lead to release of unacceptable quantities of radioactive materials if the relevantengineered safety features did not function as per design intent;"
"what is meant by the term ""accident condition""?","— In these rules, unless the context otherwise requires :-(i) “accident condition” means a substantial deviation from normal operating conditions whichcould lead to release of unacceptable quantities of radioactive materials if the relevantengineered safety features did not function as per design intent;"
"what is the atomic energy act, 1962?","(ii) “Act” means the Atomic Energy Act, 1962 (33 of 1962);"
"what does ""adequate protection"" mean?",(iii) “adequate protection” means protection against radiation so provided that the prescribedoperational limits are not exceeded;
"what is the definition of ""applicant""?","(iv) “applicant” means a person or an organisation that applies, in Form A , for granting ofauthorisation to perform specified activities connected with disposal of radioactive wastes;"
what is the process for obtaining authorization to dispose of radioactive wastes?,"(iv) “applicant” means a person or an organisation that applies, in Form A , for granting ofauthorisation to perform specified activities connected with disposal of radioactive wastes;"
"what does ""authorisation"" mean?","(v) “authorisation” means permission for disposal of radioactive wastes, granted by thecompetent authority in Form B;"
what is the definition of an 'authorised person'?,(vi) “authorised person” means a person authorised by the competent authority to disposal ofradioactive waste in accordance with the provisions of these rules;
what is the role of an 'authorised person' in disposing of radioactive waste?,(vi) “authorised person” means a person authorised by the competent authority to disposal ofradioactive waste in accordance with the provisions of these rules;
"what does ""competent authority"" mean?",(vii) “competent authority” means any officer or authority appointed by the CentralGovernment by notification under these rules;
what are the steps involved in converting radioactive waste into another form?,"(viii) “Conditioning” means those operations, chemical or physical, that transform theradioactive waste into a form suitable for transport, storage or final disposal and may includeconverting the waste to another form, enclosing the waste in containers and providingadditional packaging;"
what are the different types of containers used for conditioning radioactive waste?,"(viii) “Conditioning” means those operations, chemical or physical, that transform theradioactive waste into a form suitable for transport, storage or final disposal and may includeconverting the waste to another form, enclosing the waste in containers and providingadditional packaging;"
what is the process of conditioning radioactive waste?,"(viii) “Conditioning” means those operations, chemical or physical, that transform theradioactive waste into a form suitable for transport, storage or final disposal and may includeconverting the waste to another form, enclosing the waste in containers and providingadditional packaging;"
how does contamination affect the rules?,(ix) “Contamination” means the presence of radioactive substance in a material or place thatmay be specified as excessive by the competent authority by notification for the purposes ofthese rules;
what is the definition of contamination?,(ix) “Contamination” means the presence of radioactive substance in a material or place thatmay be specified as excessive by the competent authority by notification for the purposes ofthese rules;
what is the process of disposing of waste materials?,(x) “disposal” means release of any material to the environment in a manner leading to loss ofcontrol over the future disposition of the radionuclides contained therein and includesemplacement of waste materials in a repository;
what are the consequences of improper disposal of waste materials?,(x) “disposal” means release of any material to the environment in a manner leading to loss ofcontrol over the future disposition of the radionuclides contained therein and includesemplacement of waste materials in a repository;
"what is the definition of ""disposal""?",(x) “disposal” means release of any material to the environment in a manner leading to loss ofcontrol over the future disposition of the radionuclides contained therein and includesemplacement of waste materials in a repository;
what are the limits for disposing of radioactive waste?,"(xi) “disposal limits” means the limits for disposal of radioactive waste, prescribed from timeto time by the competent authority under these rules;"
who sets the disposal limits?,"(xi) “disposal limits” means the limits for disposal of radioactive waste, prescribed from timeto time by the competent authority under these rules;"
"what is the term ""effluent""?","(xii) “effluent” means gaseous, particulate or liquid emission which is discharged from theinstallation into its environment;"
how does environment influence the survival and development of organisms relevant to man?,"(xiii) “environment” means the surroundings of an installation that will influence the life,survival and development of human beings and any organisms relevant to man;"
what is the impact of environment on human life?,"(xiii) “environment” means the surroundings of an installation that will influence the life,survival and development of human beings and any organisms relevant to man;"
"what does the word ""employer"" mean?",(xiv) “employer” means a person who employs workers or who is self-employed as a workerin an installation;
what is the difference between an institution and an installation?,"(xvi) “installation” or “institution” means any location wherein the processes incidental to thewaste generation, conditioning, storage and disposal are carried out;"
